ENSMUST00000234132.2	ENSMUSG00000117547.2
ENSMUST00000234596.2	ENSMUSG00000117356.2
ENSMUST00000234527.2	ENSMUSG00000117556.2
ENSMUST00000072582.6	ENSMUSG00000094334.3
ENSMUST00000082888.2	ENSMUSG00000064822.2
ENSMUST00000171042.8	ENSMUSG00000024283.16
ENSMUST00000166378.8	ENSMUSG00000024283.16
ENSMUST00000074919.11	ENSMUSG00000024283.16
ENSMUST00000171486.8	ENSMUSG00000024283.16
ENSMUST00000170932.8	ENSMUSG00000024283.16
ENSMUST00000167020.8	ENSMUSG00000024283.16
ENSMUST00000165572.8	ENSMUSG00000024283.16
ENSMUST00000092112.11	ENSMUSG00000024283.16
ENSMUST00000172018.8	ENSMUSG00000024283.16
ENSMUST00000168446.8	ENSMUSG00000024283.16
ENSMUST00000166062.8	ENSMUSG00000024283.16
ENSMUST00000169010.8	ENSMUSG00000024283.16
ENSMUST00000165854.8	ENSMUSG00000024283.16
ENSMUST00000170854.2	ENSMUSG00000024283.16
ENSMUST00000167057.2	ENSMUSG00000024283.16
ENSMUST00000167542.2	ENSMUSG00000024283.16
ENSMUST00000169235.2	ENSMUSG00000091019.2
ENSMUST00000235002.2	ENSMUSG00000117428.2
ENSMUST00000239627.1	ENSMUSG00000118962.1
ENSMUST00000234784.2	ENSMUSG00000117490.2
ENSMUST00000234300.2	ENSMUSG00000117490.2
ENSMUST00000234117.2	ENSMUSG00000117484.2
ENSMUST00000234206.2	ENSMUSG00000117424.2
ENSMUST00000171469.3	ENSMUSG00000092097.3
ENSMUST00000195097.2	ENSMUSG00000103172.2
ENSMUST00000234292.2	ENSMUSG00000117549.2
ENSMUST00000041080.7	ENSMUSG00000036904.7
ENSMUST00000234891.2	ENSMUSG00000117644.2
ENSMUST00000234250.2	ENSMUSG00000117503.2
ENSMUST00000234348.2	ENSMUSG00000117435.2
ENSMUST00000235092.2	ENSMUSG00000117349.2
ENSMUST00000234100.2	ENSMUSG00000117641.2
ENSMUST00000234246.2	ENSMUSG00000117402.2
ENSMUST00000234965.2	ENSMUSG00000036103.10
ENSMUST00000040069.10	ENSMUSG00000036103.10
ENSMUST00000234149.2	ENSMUSG00000036103.10
ENSMUST00000234495.2	ENSMUSG00000117390.2
ENSMUST00000234755.2	ENSMUSG00000117597.2
ENSMUST00000183064.3	ENSMUSG00000098235.3
ENSMUST00000234767.2	ENSMUSG00000117619.2
ENSMUST00000234026.2	ENSMUSG00000036103.10
ENSMUST00000234777.2	ENSMUSG00000117453.2
ENSMUST00000165917.3	ENSMUSG00000092039.3
ENSMUST00000025137.9	ENSMUSG00000024287.9
ENSMUST00000234423.2	ENSMUSG00000024287.9
ENSMUST00000234890.2	ENSMUSG00000024287.9
ENSMUST00000234805.2	ENSMUSG00000024287.9
ENSMUST00000234622.2	ENSMUSG00000024287.9
ENSMUST00000234324.2	ENSMUSG00000024287.9
ENSMUST00000234901.2	ENSMUSG00000024287.9
ENSMUST00000234330.2	ENSMUSG00000024287.9
ENSMUST00000234975.2	ENSMUSG00000024287.9
ENSMUST00000234600.2	ENSMUSG00000024287.9
ENSMUST00000235035.2	ENSMUSG00000024287.9
ENSMUST00000234370.2	ENSMUSG00000024287.9
ENSMUST00000234111.2	ENSMUSG00000024287.9
ENSMUST00000234829.2	ENSMUSG00000117492.2
ENSMUST00000234629.2	ENSMUSG00000117492.2
ENSMUST00000234693.2	ENSMUSG00000117552.2
ENSMUST00000173356.8	ENSMUSG00000042942.19
ENSMUST00000048977.16	ENSMUSG00000042942.19
ENSMUST00000172532.8	ENSMUSG00000042942.19
ENSMUST00000224958.2	ENSMUSG00000042942.19
ENSMUST00000174553.2	ENSMUSG00000042942.19
ENSMUST00000172680.3	ENSMUSG00000042942.19
ENSMUST00000173261.2	ENSMUSG00000042942.19
ENSMUST00000002551.5	ENSMUSG00000002477.6
ENSMUST00000234207.2	ENSMUSG00000002477.6
ENSMUST00000234728.2	ENSMUSG00000002477.6
ENSMUST00000235020.2	ENSMUSG00000002477.6
ENSMUST00000234077.2	ENSMUSG00000002477.6
ENSMUST00000180948.2	ENSMUSG00000097387.2
ENSMUST00000052838.11	ENSMUSG00000024294.15
ENSMUST00000165555.8	ENSMUSG00000024294.15
ENSMUST00000131073.2	ENSMUSG00000024294.15
ENSMUST00000234047.2	ENSMUSG00000024294.15
ENSMUST00000157191.2	ENSMUSG00000087816.2
ENSMUST00000124288.8	ENSMUSG00000024294.15
ENSMUST00000117012.2	ENSMUSG00000080662.2
ENSMUST00000150000.2	ENSMUSG00000024294.15
ENSMUST00000235066.2	ENSMUSG00000117593.2
ENSMUST00000235119.2	ENSMUSG00000117563.2
ENSMUST00000234512.2	ENSMUSG00000005836.11
ENSMUST00000047762.10	ENSMUSG00000005836.11
ENSMUST00000231831.2	ENSMUSG00000005836.11
ENSMUST00000235081.2	ENSMUSG00000005836.11
ENSMUST00000234722.2	ENSMUSG00000005836.11
ENSMUST00000234971.2	ENSMUSG00000005836.11
ENSMUST00000234170.2	ENSMUSG00000117535.2
ENSMUST00000115861.9	ENSMUSG00000041238.17
ENSMUST00000235039.2	ENSMUSG00000041238.17
ENSMUST00000234984.2	ENSMUSG00000041238.17
ENSMUST00000234184.2	ENSMUSG00000041238.17
ENSMUST00000234074.2	ENSMUSG00000041238.17
ENSMUST00000047322.8	ENSMUSG00000041238.17
ENSMUST00000234744.2	ENSMUSG00000041238.17
ENSMUST00000234499.2	ENSMUSG00000041238.17
ENSMUST00000234616.2	ENSMUSG00000041238.17
ENSMUST00000234161.2	ENSMUSG00000041238.17
ENSMUST00000234766.2	ENSMUSG00000041238.17
ENSMUST00000171109.9	ENSMUSG00000040957.16
ENSMUST00000046948.10	ENSMUSG00000040957.16
ENSMUST00000225430.2	ENSMUSG00000040957.16
ENSMUST00000234828.2	ENSMUSG00000117430.2
ENSMUST00000025270.8	ENSMUSG00000024404.8
ENSMUST00000234967.2	ENSMUSG00000024404.8
ENSMUST00000234148.2	ENSMUSG00000024404.8
ENSMUST00000235060.2	ENSMUSG00000024404.8
ENSMUST00000234918.2	ENSMUSG00000024404.8
ENSMUST00000234709.2	ENSMUSG00000024404.8
ENSMUST00000234563.2	ENSMUSG00000024404.8
ENSMUST00000234931.2	ENSMUSG00000024404.8
ENSMUST00000234310.2	ENSMUSG00000024404.8
ENSMUST00000234652.2	ENSMUSG00000024404.8
ENSMUST00000235084.2	ENSMUSG00000024404.8
ENSMUST00000234985.2	ENSMUSG00000024404.8
ENSMUST00000235106.2	ENSMUSG00000024404.8
ENSMUST00000234415.2	ENSMUSG00000024404.8
ENSMUST00000234021.2	ENSMUSG00000024404.8
ENSMUST00000234762.2	ENSMUSG00000024404.8
ENSMUST00000234006.2	ENSMUSG00000024404.8
ENSMUST00000122799.3	ENSMUSG00000084748.3
ENSMUST00000126523.9	ENSMUSG00000024410.16
ENSMUST00000025276.15	ENSMUSG00000024410.16
ENSMUST00000155431.8	ENSMUSG00000024410.16
ENSMUST00000127123.8	ENSMUSG00000024410.16
ENSMUST00000134046.8	ENSMUSG00000024410.16
ENSMUST00000138866.2	ENSMUSG00000024410.16
ENSMUST00000139151.8	ENSMUSG00000024410.16
ENSMUST00000153233.2	ENSMUSG00000024410.16
ENSMUST00000234814.2	ENSMUSG00000024410.16
ENSMUST00000234457.2	ENSMUSG00000024410.16
ENSMUST00000134756.2	ENSMUSG00000024410.16
ENSMUST00000234982.2	ENSMUSG00000024410.16
ENSMUST00000153352.2	ENSMUSG00000086935.2
ENSMUST00000119574.2	ENSMUSG00000082051.2
ENSMUST00000092070.13	ENSMUSG00000024421.17
ENSMUST00000189120.2	ENSMUSG00000099663.2
ENSMUST00000188815.2	ENSMUSG00000024421.17
ENSMUST00000234974.2	ENSMUSG00000024424.16
ENSMUST00000234255.2	ENSMUSG00000024424.16
ENSMUST00000169401.8	ENSMUSG00000024424.16
ENSMUST00000141060.2	ENSMUSG00000024424.16
ENSMUST00000234966.2	ENSMUSG00000024424.16
ENSMUST00000025294.9	ENSMUSG00000024424.16
ENSMUST00000234848.2	ENSMUSG00000024424.16
ENSMUST00000157325.3	ENSMUSG00000087950.3
ENSMUST00000143388.2	ENSMUSG00000024424.16
ENSMUST00000234735.2	ENSMUSG00000024430.15
ENSMUST00000235000.2	ENSMUSG00000024430.15
ENSMUST00000115857.9	ENSMUSG00000024430.15
ENSMUST00000080415.11	ENSMUSG00000024430.15
ENSMUST00000121018.8	ENSMUSG00000024430.15
ENSMUST00000119108.8	ENSMUSG00000024430.15
ENSMUST00000150758.8	ENSMUSG00000024430.15
ENSMUST00000186263.2	ENSMUSG00000024430.15
ENSMUST00000191078.7	ENSMUSG00000024430.15
ENSMUST00000234213.2	ENSMUSG00000117494.2
ENSMUST00000118252.2	ENSMUSG00000080866.2
ENSMUST00000234763.2	ENSMUSG00000024423.7
ENSMUST00000235079.2	ENSMUSG00000024423.7
ENSMUST00000025290.7	ENSMUSG00000024423.7
ENSMUST00000234369.2	ENSMUSG00000024423.7
ENSMUST00000234409.2	ENSMUSG00000024423.7
ENSMUST00000234035.2	ENSMUSG00000024423.7
ENSMUST00000235053.2	ENSMUSG00000024423.7
ENSMUST00000234488.2	ENSMUSG00000024423.7
ENSMUST00000234793.2	ENSMUSG00000024423.7
ENSMUST00000041676.3	ENSMUSG00000037346.6
ENSMUST00000234084.2	ENSMUSG00000037346.6
ENSMUST00000234565.2	ENSMUSG00000037346.6
ENSMUST00000235001.2	ENSMUSG00000117367.2
ENSMUST00000234218.2	ENSMUSG00000117633.2
ENSMUST00000234483.2	ENSMUSG00000117470.2
ENSMUST00000235083.2	ENSMUSG00000117605.2
ENSMUST00000069552.7	ENSMUSG00000055795.7
ENSMUST00000234589.2	ENSMUSG00000117607.2
ENSMUST00000066378.9	ENSMUSG00000053740.9
ENSMUST00000040860.3	ENSMUSG00000036743.5
ENSMUST00000234680.2	ENSMUSG00000036743.5
ENSMUST00000234869.2	ENSMUSG00000036743.5
ENSMUST00000234177.2	ENSMUSG00000036743.5
ENSMUST00000234922.2	ENSMUSG00000036743.5
ENSMUST00000234318.2	ENSMUSG00000036743.5
ENSMUST00000235037.2	ENSMUSG00000036743.5
ENSMUST00000169862.2	ENSMUSG00000054321.8
ENSMUST00000234789.2	ENSMUSG00000054321.8
ENSMUST00000234669.2	ENSMUSG00000117530.2
ENSMUST00000234445.2	ENSMUSG00000117450.2
ENSMUST00000096579.6	ENSMUSG00000071867.6
ENSMUST00000235045.2	ENSMUSG00000117613.2
ENSMUST00000234122.2	ENSMUSG00000117645.2
ENSMUST00000234487.2	ENSMUSG00000117541.2
ENSMUST00000079733.7	ENSMUSG00000058064.7
ENSMUST00000158829.3	ENSMUSG00000089454.3
ENSMUST00000155839.2	ENSMUSG00000043223.8
ENSMUST00000149095.2	ENSMUSG00000085575.2
ENSMUST00000209584.2	ENSMUSG00000086095.3
ENSMUST00000210330.2	ENSMUSG00000086095.3
ENSMUST00000210201.2	ENSMUSG00000086095.3
ENSMUST00000211529.2	ENSMUSG00000086095.3
ENSMUST00000144006.2	ENSMUSG00000086095.3
ENSMUST00000147119.8	ENSMUSG00000087170.8
ENSMUST00000153022.8	ENSMUSG00000087170.8
ENSMUST00000104117.3	ENSMUSG00000077305.3
ENSMUST00000125117.2	ENSMUSG00000087170.8
ENSMUST00000136956.2	ENSMUSG00000087170.8
ENSMUST00000234539.2	ENSMUSG00000117439.2
ENSMUST00000234128.2	ENSMUSG00000117378.2
ENSMUST00000054128.7	ENSMUSG00000034774.7
ENSMUST00000077146.4	ENSMUSG00000069441.4
ENSMUST00000076737.7	ENSMUSG00000061928.7
ENSMUST00000019426.5	ENSMUSG00000001804.10
ENSMUST00000234005.2	ENSMUSG00000117480.2
ENSMUST00000070892.8	ENSMUSG00000056632.9
ENSMUST00000234945.2	ENSMUSG00000056632.9
ENSMUST00000059787.15	ENSMUSG00000044393.16
ENSMUST00000120102.8	ENSMUSG00000044393.16
ENSMUST00000121837.2	ENSMUSG00000044393.16
ENSMUST00000075312.5	ENSMUSG00000061808.5
ENSMUST00000050004.3	ENSMUSG00000033107.7
ENSMUST00000234316.2	ENSMUSG00000033107.7
ENSMUST00000234107.2	ENSMUSG00000024317.16
ENSMUST00000072847.12	ENSMUSG00000024317.16
ENSMUST00000234536.2	ENSMUSG00000024317.16
ENSMUST00000052396.7	ENSMUSG00000024317.16
ENSMUST00000234545.2	ENSMUSG00000024317.16
ENSMUST00000234169.2	ENSMUSG00000024317.16
ENSMUST00000234367.2	ENSMUSG00000024313.9
ENSMUST00000235102.2	ENSMUSG00000024313.9
ENSMUST00000082235.5	ENSMUSG00000024313.9
ENSMUST00000104400.3	ENSMUSG00000119849.1
ENSMUST00000234125.2	ENSMUSG00000117357.2
ENSMUST00000234791.2	ENSMUSG00000117357.2
ENSMUST00000144487.8	ENSMUSG00000043168.13
ENSMUST00000132729.8	ENSMUSG00000043168.13
ENSMUST00000143378.8	ENSMUSG00000043168.13
ENSMUST00000139804.2	ENSMUSG00000043168.13
ENSMUST00000239326.2	ENSMUSG00000045215.18
ENSMUST00000153836.2	ENSMUSG00000045215.18
ENSMUST00000120223.8	ENSMUSG00000045215.18
ENSMUST00000097655.4	ENSMUSG00000045215.18
ENSMUST00000104492.3	ENSMUSG00000077680.3
ENSMUST00000234562.2	ENSMUSG00000117475.2
ENSMUST00000222515.2	ENSMUSG00000024302.17
ENSMUST00000221471.2	ENSMUSG00000024302.17
ENSMUST00000115832.4	ENSMUSG00000024302.17
ENSMUST00000221880.2	ENSMUSG00000024302.17
ENSMUST00000220904.2	ENSMUSG00000024302.17
ENSMUST00000047954.15	ENSMUSG00000024302.17
ENSMUST00000223441.2	ENSMUSG00000024302.17
ENSMUST00000220967.2	ENSMUSG00000024302.17
ENSMUST00000222351.2	ENSMUSG00000024302.17
ENSMUST00000222726.2	ENSMUSG00000024302.17
ENSMUST00000132286.8	ENSMUSG00000024277.15
ENSMUST00000170802.8	ENSMUSG00000024277.15
ENSMUST00000155708.8	ENSMUSG00000024277.15
ENSMUST00000118826.9	ENSMUSG00000024277.15
ENSMUST00000115830.8	ENSMUSG00000024277.15
ENSMUST00000149943.2	ENSMUSG00000024277.15
ENSMUST00000025127.5	ENSMUSG00000024277.15
ENSMUST00000141853.2	ENSMUSG00000024277.15
ENSMUST00000165387.2	ENSMUSG00000024277.15
ENSMUST00000235052.2	ENSMUSG00000117504.2
ENSMUST00000234075.2	ENSMUSG00000117405.2
ENSMUST00000224107.2	ENSMUSG00000024276.8
ENSMUST00000225682.2	ENSMUSG00000024276.8
ENSMUST00000060762.6	ENSMUSG00000024276.8
ENSMUST00000223595.2	ENSMUSG00000024276.8
ENSMUST00000074941.8	ENSMUSG00000063281.10
ENSMUST00000000430.14	ENSMUSG00000000420.16
ENSMUST00000170243.8	ENSMUSG00000000420.16
ENSMUST00000164998.8	ENSMUSG00000000420.16
ENSMUST00000178605.2	ENSMUSG00000000420.16
ENSMUST00000171583.2	ENSMUSG00000000420.16
ENSMUST00000164066.2	ENSMUSG00000000420.16
ENSMUST00000163185.2	ENSMUSG00000091363.2
ENSMUST00000169474.2	ENSMUSG00000000420.16
ENSMUST00000170191.2	ENSMUSG00000000420.16
ENSMUST00000234938.2	ENSMUSG00000117570.2
ENSMUST00000235029.2	ENSMUSG00000024273.9
ENSMUST00000234559.2	ENSMUSG00000024273.9
ENSMUST00000234303.2	ENSMUSG00000024273.9
ENSMUST00000234955.2	ENSMUSG00000024273.9
ENSMUST00000097646.5	ENSMUSG00000024273.9
ENSMUST00000234903.2	ENSMUSG00000024271.9
ENSMUST00000234266.2	ENSMUSG00000024271.9
ENSMUST00000234484.2	ENSMUSG00000024271.9
ENSMUST00000025120.8	ENSMUSG00000024271.9
ENSMUST00000234847.2	ENSMUSG00000024271.9
ENSMUST00000234164.2	ENSMUSG00000024271.9
ENSMUST00000234014.2	ENSMUSG00000024271.9
ENSMUST00000234351.2	ENSMUSG00000024271.9
ENSMUST00000068006.9	ENSMUSG00000039616.11
ENSMUST00000234253.2	ENSMUSG00000039616.11
ENSMUST00000234462.2	ENSMUSG00000034295.11
ENSMUST00000037097.9	ENSMUSG00000034295.11
ENSMUST00000234526.2	ENSMUSG00000034295.11
ENSMUST00000234834.2	ENSMUSG00000034295.11
ENSMUST00000234199.2	ENSMUSG00000034295.11
ENSMUST00000159605.8	ENSMUSG00000033632.17
ENSMUST00000036619.14	ENSMUSG00000033632.17
ENSMUST00000161262.8	ENSMUSG00000033632.17
ENSMUST00000162149.2	ENSMUSG00000033632.17
ENSMUST00000097643.10	ENSMUSG00000033632.17
ENSMUST00000165400.8	ENSMUSG00000033632.17
ENSMUST00000160530.8	ENSMUSG00000033632.17
ENSMUST00000100131.5	ENSMUSG00000033632.17
ENSMUST00000163015.2	ENSMUSG00000089908.2
ENSMUST00000223994.2	ENSMUSG00000114306.2
ENSMUST00000224766.2	ENSMUSG00000114511.2
ENSMUST00000234817.2	ENSMUSG00000117410.2
ENSMUST00000234860.2	ENSMUSG00000117604.2
ENSMUST00000234272.2	ENSMUSG00000117604.2
ENSMUST00000157473.3	ENSMUSG00000088098.3
ENSMUST00000234907.2	ENSMUSG00000117516.2
ENSMUST00000234742.2	ENSMUSG00000117346.2
ENSMUST00000050143.5	ENSMUSG00000046636.6
ENSMUST00000234286.2	ENSMUSG00000117467.2
ENSMUST00000157315.3	ENSMUSG00000087940.3
ENSMUST00000234566.2	ENSMUSG00000117449.2
ENSMUST00000234187.2	ENSMUSG00000117478.2
ENSMUST00000234127.2	ENSMUSG00000117473.2
ENSMUST00000234407.2	ENSMUSG00000117473.2
ENSMUST00000234160.2	ENSMUSG00000117473.2
ENSMUST00000234116.2	ENSMUSG00000117638.2
ENSMUST00000234621.2	ENSMUSG00000117554.2
ENSMUST00000234467.2	ENSMUSG00000117465.2
ENSMUST00000115812.10	ENSMUSG00000033628.16
ENSMUST00000115811.8	ENSMUSG00000033628.16
ENSMUST00000091978.12	ENSMUSG00000033628.16
ENSMUST00000131405.2	ENSMUSG00000033628.16
ENSMUST00000157501.3	ENSMUSG00000088126.3
ENSMUST00000181067.2	ENSMUSG00000096934.2
ENSMUST00000164667.2	ENSMUSG00000092124.2
ENSMUST00000234760.2	ENSMUSG00000024260.15
ENSMUST00000178164.8	ENSMUSG00000024260.15
ENSMUST00000235017.2	ENSMUSG00000024260.15
ENSMUST00000234769.2	ENSMUSG00000024260.15
ENSMUST00000025109.8	ENSMUSG00000024260.15
ENSMUST00000234846.2	ENSMUSG00000024260.15
ENSMUST00000234461.2	ENSMUSG00000024260.15
ENSMUST00000234772.2	ENSMUSG00000024260.15
ENSMUST00000234849.2	ENSMUSG00000117533.2
ENSMUST00000234500.2	ENSMUSG00000041915.10
ENSMUST00000115808.4	ENSMUSG00000041915.10
ENSMUST00000234441.2	ENSMUSG00000041915.10
ENSMUST00000234413.2	ENSMUSG00000041915.10
ENSMUST00000234191.2	ENSMUSG00000041915.10
ENSMUST00000025106.5	ENSMUSG00000024258.5
ENSMUST00000234146.2	ENSMUSG00000024258.5
ENSMUST00000234302.2	ENSMUSG00000024400.17
ENSMUST00000082319.15	ENSMUSG00000024400.17
ENSMUST00000234957.2	ENSMUSG00000024400.17
ENSMUST00000025264.8	ENSMUSG00000024400.17
ENSMUST00000234344.2	ENSMUSG00000024400.17
ENSMUST00000234137.2	ENSMUSG00000024400.17
ENSMUST00000234937.2	ENSMUSG00000024400.17
ENSMUST00000233994.2	ENSMUSG00000024395.10
ENSMUST00000234549.2	ENSMUSG00000024395.10
ENSMUST00000025254.9	ENSMUSG00000024395.10
ENSMUST00000225404.2	ENSMUSG00000024395.10
ENSMUST00000225470.2	ENSMUSG00000024395.10
ENSMUST00000234678.2	ENSMUSG00000024395.10
ENSMUST00000224383.2	ENSMUSG00000024395.10
ENSMUST00000226112.2	ENSMUSG00000024395.10
ENSMUST00000225400.2	ENSMUSG00000024395.10
ENSMUST00000223753.2	ENSMUSG00000024395.10
ENSMUST00000225125.2	ENSMUSG00000024395.10
ENSMUST00000224328.2	ENSMUSG00000024395.10
ENSMUST00000150084.2	ENSMUSG00000084824.2
ENSMUST00000146065.2	ENSMUSG00000085300.2
ENSMUST00000025243.5	ENSMUSG00000024384.5
ENSMUST00000212675.2	ENSMUSG00000024384.5
ENSMUST00000212115.2	ENSMUSG00000024384.5
ENSMUST00000212104.2	ENSMUSG00000024384.5
ENSMUST00000212280.2	ENSMUSG00000024384.5
ENSMUST00000213074.2	ENSMUSG00000024384.5
ENSMUST00000212458.2	ENSMUSG00000024384.5
ENSMUST00000234291.2	ENSMUSG00000117606.2
ENSMUST00000181713.2	ENSMUSG00000097363.2
ENSMUST00000234576.2	ENSMUSG00000024383.10
ENSMUST00000234611.2	ENSMUSG00000024383.10
ENSMUST00000096575.5	ENSMUSG00000024383.10
ENSMUST00000025241.7	ENSMUSG00000024382.14
ENSMUST00000142213.8	ENSMUSG00000024382.14
ENSMUST00000129023.2	ENSMUSG00000024382.14
ENSMUST00000234857.2	ENSMUSG00000024381.17
ENSMUST00000234496.2	ENSMUSG00000024381.17
ENSMUST00000091967.13	ENSMUSG00000024381.17
ENSMUST00000025239.9	ENSMUSG00000024381.17
ENSMUST00000234024.2	ENSMUSG00000024381.17
ENSMUST00000234373.2	ENSMUSG00000024381.17
ENSMUST00000207413.2	ENSMUSG00000109232.2
ENSMUST00000240366.1	ENSMUSG00000119590.1
ENSMUST00000025237.5	ENSMUSG00000024379.5
ENSMUST00000234876.2	ENSMUSG00000024379.5
ENSMUST00000240108.1	ENSMUSG00000119098.1
ENSMUST00000053663.11	ENSMUSG00000038299.17
ENSMUST00000234158.2	ENSMUSG00000038299.17
ENSMUST00000166214.9	ENSMUSG00000038299.17
ENSMUST00000234434.2	ENSMUSG00000038299.17
ENSMUST00000234798.2	ENSMUSG00000038299.17
ENSMUST00000234205.2	ENSMUSG00000038128.8
ENSMUST00000234654.2	ENSMUSG00000038128.8
ENSMUST00000234001.2	ENSMUSG00000038128.8
ENSMUST00000042868.6	ENSMUSG00000038128.8
ENSMUST00000238186.2	ENSMUSG00000118292.2
ENSMUST00000237662.2	ENSMUSG00000118292.2
ENSMUST00000237469.2	ENSMUSG00000117689.2
ENSMUST00000146010.3	ENSMUSG00000087590.3
ENSMUST00000179138.2	ENSMUSG00000087590.3
ENSMUST00000175078.3	ENSMUSG00000092819.3
ENSMUST00000236132.2	ENSMUSG00000118246.2
ENSMUST00000104075.3	ENSMUSG00000077263.3
ENSMUST00000171187.8	ENSMUSG00000005871.16
ENSMUST00000115781.10	ENSMUSG00000005871.16
ENSMUST00000079362.13	ENSMUSG00000005871.16
ENSMUST00000170023.8	ENSMUSG00000005871.16
ENSMUST00000163295.2	ENSMUSG00000005871.16
ENSMUST00000170195.2	ENSMUSG00000005871.16
ENSMUST00000066133.7	ENSMUSG00000005871.16
ENSMUST00000165590.2	ENSMUSG00000005871.16
ENSMUST00000167136.2	ENSMUSG00000005871.16
ENSMUST00000126518.8	ENSMUSG00000014504.17
ENSMUST00000131713.8	ENSMUSG00000014504.17
ENSMUST00000140279.8	ENSMUSG00000014504.17
ENSMUST00000072576.10	ENSMUSG00000014504.17
ENSMUST00000119329.8	ENSMUSG00000014504.17
ENSMUST00000142010.2	ENSMUSG00000014504.17
ENSMUST00000236131.2	ENSMUSG00000014503.16
